priority_rank,institution,legal_employer,parent_system,fact_type,extracted_value,source_url,supporting_excerpt,page_title,retrieved_at,campus_system_scope,extractor_confidence,review_status,reviewer,reviewer_note
5,University of California-San Diego,University of California-San Diego,University of California,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
5,University of California-San Diego,University of California-San Diego,University of California,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
6,University of North Texas,University of North Texas,University of North Texas System,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
6,University of North Texas,University of North Texas,University of North Texas System,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
6,University of North Texas,University of North Texas,University of North Texas System,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
6,University of North Texas,University of North Texas,University of North Texas System,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
7,The University of Texas at San Antonio,The University of Texas at San Antonio,The University of Texas System,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
7,The University of Texas at San Antonio,The University of Texas at San Antonio,The University of Texas System,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
7,The University of Texas at San Antonio,The University of Texas at San Antonio,The University of Texas System,perm_supported,YES,https://www.utsa.edu/hop/chapter4/4.24.html,"UTSA International Services processes requests for non-immigration petitions, labor certifications, and Employment-Based Permanent Resident petitions.","Section 4.24, Hiring of Foreign Nationals",2026-08-15T01:52:54.112951Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.99,REVIEWED_ACCEPTED,codex:phase7-operator,"Official HTTPS source, current page, institution scope, affirmative value, contradiction state, and exact supporting excerpt manually reviewed."
7,The University of Texas at San Antonio,The University of Texas at San Antonio,The University of Texas System,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
8,The University of Texas at Austin,The University of Texas at Austin,The University of Texas System,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
8,The University of Texas at Austin,The University of Texas at Austin,The University of Texas System,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
8,The University of Texas at Austin,The University of Texas at Austin,The University of Texas System,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
8,The University of Texas at Austin,The University of Texas at Austin,The University of Texas System,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
9,Northwestern University,Northwestern University,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
9,Northwestern University,Northwestern University,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
9,Northwestern University,Northwestern University,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
9,Northwestern University,Northwestern University,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
10,University of Chicago,University of Chicago,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
10,University of Chicago,University of Chicago,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
10,University of Chicago,University of Chicago,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
10,University of Chicago,University of Chicago,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
11,Texas Tech University,Texas Tech University,Texas Tech University System,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
11,Texas Tech University,Texas Tech University,Texas Tech University System,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
11,Texas Tech University,Texas Tech University,Texas Tech University System,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
11,Texas Tech University,Texas Tech University,Texas Tech University System,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
12,University of South Florida,University of South Florida,State University System of Florida,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
12,University of South Florida,University of South Florida,State University System of Florida,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
12,University of South Florida,University of South Florida,State University System of Florida,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
12,University of South Florida,University of South Florida,State University System of Florida,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
13,Kennesaw State University,Kennesaw State University,University System of Georgia,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
13,Kennesaw State University,Kennesaw State University,University System of Georgia,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
13,Kennesaw State University,Kennesaw State University,University System of Georgia,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
13,Kennesaw State University,Kennesaw State University,University System of Georgia,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
14,University of California-Davis,University of California-Davis,University of California,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
14,University of California-Davis,University of California-Davis,University of California,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
14,University of California-Davis,University of California-Davis,University of California,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
14,University of California-Davis,University of California-Davis,University of California,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
15,University of California-Irvine,University of California-Irvine,University of California,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
15,University of California-Irvine,University of California-Irvine,University of California,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
15,University of California-Irvine,University of California-Irvine,University of California,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
15,University of California-Irvine,University of California-Irvine,University of California,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
16,Harvard University,Harvard University,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
16,Harvard University,Harvard University,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
16,Harvard University,Harvard University,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
16,Harvard University,Harvard University,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
17,University of Utah,University of Utah,Utah System of Higher Education,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
17,University of Utah,University of Utah,Utah System of Higher Education,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
17,University of Utah,University of Utah,Utah System of Higher Education,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
17,University of Utah,University of Utah,Utah System of Higher Education,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
18,Old Dominion University,Old Dominion University,NONE_RECORDED,eb1b_supported,UNKNOWN,https://www.odu.edu/about/policiesandprocedures/university/6000/6026,CGE prepares and signs all employment-based non-immigrant petitions and all permanent resident petitions based on recommendations of hiring managers.,University Policy 6026 — Visa and Immigration Services Policy,2026-08-15T01:59:22.184696Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.58,NEEDS_REVIEW,"",CONFIDENCE_BELOW_0.85
18,Old Dominion University,Old Dominion University,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,https://www.odu.edu/about/policiesandprocedures/university/6000/6026,CGE prepares and signs all employment-based non-immigrant petitions and all permanent resident petitions based on recommendations of hiring managers.,University Policy 6026 — Visa and Immigration Services Policy,2026-08-15T01:59:22.184696Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.62,NEEDS_REVIEW,"",CONFIDENCE_BELOW_0.85
18,Old Dominion University,Old Dominion University,NONE_RECORDED,perm_supported,YES,https://www.odu.edu/about/policiesandprocedures/university/6000/6026,"Only the Center for Global Engagement (CGE) is authorized to prepare, sign and submit official immigration and non-immigration documents to appropriate Federal agencies",University Policy 6026 — Visa and Immigration Services Policy,2026-08-15T01:59:22.184696Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.95,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
18,Old Dominion University,Old Dominion University,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,https://www.odu.edu/about/policiesandprocedures/university/6000/6026,CGE prepares and signs all employment-based non-immigrant petitions and all permanent resident petitions based on recommendations of hiring managers.,University Policy 6026 — Visa and Immigration Services Policy,2026-08-15T01:59:22.184696Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.62,NEEDS_REVIEW,"",CONFIDENCE_BELOW_0.85
19,Johns Hopkins University,Johns Hopkins University,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
19,Johns Hopkins University,Johns Hopkins University,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
19,Johns Hopkins University,Johns Hopkins University,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
19,Johns Hopkins University,Johns Hopkins University,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
20,Yale University,Yale University,NONE_RECORDED,eb1b_supported,NOT_STATED,https://oiss.yale.edu/for-departments,permanent residence sponsorship for tenure-track and tenured faculty,For Departments — Immigration Sponsorship Policy,2026-08-15T01:40:03.200261Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.98,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
20,Yale University,Yale University,NONE_RECORDED,h1b_research_staff_eligible,YES,https://oiss.yale.edu/for-departments,"OISS oversees nonimmigrant visa sponsorship for eligible students and academic appointments defined by the Yale Faculty Handbook, provided they are full-time and based on campus",For Departments — Immigration Sponsorship Policy,2026-08-15T01:40:03.200261Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.75,NEEDS_REVIEW,"",EXCERPT_NOT_FOUND_IN_FETCHED_SOURCE;CONFIDENCE_BELOW_0.85
20,Yale University,Yale University,NONE_RECORDED,perm_supported,NOT_STATED,https://oiss.yale.edu/for-departments,permanent residence sponsorship for tenure-track and tenured faculty,For Departments — Immigration Sponsorship Policy,2026-08-15T01:40:03.200261Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.98,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
20,Yale University,Yale University,NONE_RECORDED,pr_research_staff_eligible,NOT_STATED,https://oiss.yale.edu/for-departments,OISS oversees nonimmigrant visa sponsorship for eligible students and academic appointments ... as well as permanent residence sponsorship for tenure-track and tenured faculty.,For Departments — Immigration Sponsorship Policy,2026-08-15T01:40:03.200261Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.9,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
21,Massachusetts Institute of Technology,Massachusetts Institute of Technology,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
21,Massachusetts Institute of Technology,Massachusetts Institute of Technology,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
21,Massachusetts Institute of Technology,Massachusetts Institute of Technology,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
21,Massachusetts Institute of Technology,Massachusetts Institute of Technology,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
22,Thomas Jefferson University,Thomas Jefferson University,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
22,Thomas Jefferson University,Thomas Jefferson University,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
22,Thomas Jefferson University,Thomas Jefferson University,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
22,Thomas Jefferson University,Thomas Jefferson University,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
23,University of Central Missouri,University of Central Missouri,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
23,University of Central Missouri,University of Central Missouri,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
23,University of Central Missouri,University of Central Missouri,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
23,University of Central Missouri,University of Central Missouri,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
24,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas System,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
24,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas System,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
24,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas System,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
24,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas System,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
25,University of Illinois Chicago,University of Illinois Chicago,University of Illinois Board of Trustees,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
25,University of Illinois Chicago,University of Illinois Chicago,University of Illinois Board of Trustees,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
25,University of Illinois Chicago,University of Illinois Chicago,University of Illinois Board of Trustees,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
25,University of Illinois Chicago,University of Illinois Chicago,University of Illinois Board of Trustees,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
26,Oregon State University,Oregon State University,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
26,Oregon State University,Oregon State University,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
26,Oregon State University,Oregon State University,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
26,Oregon State University,Oregon State University,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
27,Florida State University,Florida State University,State University System of Florida,eb1b_supported,NOT_STATED,https://hr.fsu.edu/article/h-1b-hiring-update,"",H-1B Hiring Update,2026-08-15T01:34:28.476265Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.99,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
27,Florida State University,Florida State University,State University System of Florida,h1b_research_staff_eligible,UNKNOWN,https://hr.fsu.edu/article/h-1b-hiring-update,"FSU has a current moratorium on hiring new employees requiring immediate H-1B sponsorship through January 5, 2027.",H-1B Hiring Update,2026-08-15T01:34:28.476265Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.98,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
27,Florida State University,Florida State University,State University System of Florida,perm_supported,NOT_STATED,https://hr.fsu.edu/article/h-1b-hiring-update,"",H-1B Hiring Update,2026-08-15T01:34:28.476265Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.99,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
27,Florida State University,Florida State University,State University System of Florida,pr_research_staff_eligible,NOT_STATED,https://hr.fsu.edu/article/h-1b-hiring-update,"",H-1B Hiring Update,2026-08-15T01:34:28.476265Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.99,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
28,DePaul University,DePaul University,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
28,DePaul University,DePaul University,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
28,DePaul University,DePaul University,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
28,DePaul University,DePaul University,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
29,George Mason University,George Mason University,NONE_RECORDED,eb1b_supported,NOT_STATED,https://oips.gmu.edu/h-1b-visa-info/,The document does not address EB-1B sponsorship.,H-1B Visa Information,2026-08-15T01:38:06.042757Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.98,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
29,George Mason University,George Mason University,NONE_RECORDED,h1b_research_staff_eligible,YES,https://oips.gmu.edu/h-1b-visa-info/,The H-1B is typically used for tenure-track or term faculty and long-term academic researchers.,H-1B Visa Information,2026-08-15T01:38:06.042757Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.99,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
29,George Mason University,George Mason University,NONE_RECORDED,perm_supported,NOT_STATED,https://oips.gmu.edu/h-1b-visa-info/,The document lists an I-140 fee but does not state that George Mason University supports PERM.,H-1B Visa Information,2026-08-15T01:38:06.042757Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.98,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
29,George Mason University,George Mason University,NONE_RECORDED,pr_research_staff_eligible,NOT_STATED,https://oips.gmu.edu/h-1b-visa-info/,The document does not address permanent-residence sponsorship eligibility for research staff.,H-1B Visa Information,2026-08-15T01:38:06.042757Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.98,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
30,Michigan State University,Michigan State University,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
30,Michigan State University,Michigan State University,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
30,Michigan State University,Michigan State University,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
30,Michigan State University,Michigan State University,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
31,University of Florida,University of Florida,State University System of Florida,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
31,University of Florida,University of Florida,State University System of Florida,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
31,University of Florida,University of Florida,State University System of Florida,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
